mode,modifier,code,event
emacs,KeyModifiers(0x0),Backspace,Edit([Backspace])
emacs,KeyModifiers(0x0),Delete,Edit([Delete])
emacs,KeyModifiers(0x0),Down,"UntilFound([MenuDown, Down])"
emacs,KeyModifiers(0x0),End,"UntilFound([HistoryHintComplete, Edit([MoveToLineEnd { select: false }])])"
emacs,KeyModifiers(0x0),Enter,Enter
emacs,KeyModifiers(0x0),Esc,Esc
emacs,KeyModifiers(0x0),Home,Edit([MoveToLineStart { select: false }])
emacs,KeyModifiers(0x0),Left,"UntilFound([MenuLeft, Left])"
emacs,KeyModifiers(0x0),Right,"UntilFound([HistoryHintComplete, MenuRight, Right])"
emacs,KeyModifiers(0x0),Up,"UntilFound([MenuUp, Up])"
emacs,KeyModifiers(ALT),Backspace,Edit([BackspaceWord])
emacs,KeyModifiers(ALT),Char('b'),Edit([MoveWordLeft { select: false }])
emacs,KeyModifiers(ALT),Char('c'),Edit([CapitalizeChar])
emacs,KeyModifiers(ALT),Char('d'),Edit([CutWordRight])
emacs,KeyModifiers(ALT),Char('f'),"UntilFound([HistoryHintWordComplete, Edit([MoveWordRight { select: false }])])"
emacs,KeyModifiers(ALT),Char('l'),Edit([LowercaseWord])
emacs,KeyModifiers(ALT),Char('m'),Edit([BackspaceWord])
emacs,KeyModifiers(ALT),Char('u'),Edit([UppercaseWord])
emacs,KeyModifiers(ALT),Delete,Edit([DeleteWord])
emacs,KeyModifiers(ALT),Enter,Edit([InsertNewline])
emacs,KeyModifiers(ALT),Left,Edit([MoveWordLeft { select: false }])
emacs,KeyModifiers(ALT),Right,"UntilFound([HistoryHintWordComplete, Edit([MoveWordRight { select: false }])])"
emacs,KeyModifiers(CONTROL),Backspace,Edit([BackspaceWord])
emacs,KeyModifiers(CONTROL),Char('a'),Edit([MoveToLineStart { select: false }])
emacs,KeyModifiers(CONTROL),Char('b'),"UntilFound([MenuLeft, Left])"
emacs,KeyModifiers(CONTROL),Char('c'),CtrlC
emacs,KeyModifiers(CONTROL),Char('d'),CtrlD
emacs,KeyModifiers(CONTROL),Char('e'),"UntilFound([HistoryHintComplete, Edit([MoveToLineEnd { select: false }])])"
emacs,KeyModifiers(CONTROL),Char('f'),"UntilFound([HistoryHintComplete, MenuRight, Right])"
emacs,KeyModifiers(CONTROL),Char('g'),Edit([Redo])
emacs,KeyModifiers(CONTROL),Char('h'),Edit([Backspace])
emacs,KeyModifiers(CONTROL),Char('j'),Enter
emacs,KeyModifiers(CONTROL),Char('k'),Edit([KillLine])
emacs,KeyModifiers(CONTROL),Char('l'),ClearScreen
emacs,KeyModifiers(CONTROL),Char('n'),"UntilFound([MenuDown, Down])"
emacs,KeyModifiers(CONTROL),Char('o'),OpenEditor
emacs,KeyModifiers(CONTROL),Char('p'),"UntilFound([MenuUp, Up])"
emacs,KeyModifiers(CONTROL),Char('r'),SearchHistory
emacs,KeyModifiers(CONTROL),Char('t'),Edit([SwapGraphemes])
